날짜,부서,비용_유형,서비스,프로젝트ID,비용,사용_단위,사용량,비고
2025-01-01,IT,클라우드_서비스,BigQuery,nol-universe-prod,1520.5,슬롯_시간,5200,프로덕션 데이터 분석을 위한 BigQuery 슬롯 활용
2025-01-02,CS,SaaS,Zendesk,nol-universe-prod,450,사용자,15,고객 지원 소프트웨어 라이선스
2025-01-05,Sales,클라우드_서비스,Cloud_Run,nol-universe-dev,85.25,요청,550000,영업 대시보드용 API
2025-01-07,Marketing,마케팅_캠페인,Google_Ads,nol-universe-dev,1200,클릭,8500,1분기 브랜드 인지도 캠페인
2025-01-10,IT,클라우드_서비스,Cloud_Storage,nol-universe-prod,95.75,GB,3500,고객 로그 및 백업 저장
2025-01-15,CS,클라우드_서비스,Dialogflow_CX,nol-universe-prod,320,세션,25000,고객 문의용 자동 챗봇
2025-01-20,Sales,출장,항공권,N/A,350,건,1,고객 미팅을 위한 부산 출장
2025-01-25,Marketing,SaaS,Mailchimp,N/A,55,사용자,2,이메일 마케팅 툴 구독
2025-01-30,IT,클라우드_서비스,Compute_Engine,nol-universe-prod,210.5,시간,150,프로덕션 백엔드 서버 운영
2025-02-02,IT,클라우드_서비스,BigQuery,nol-universe-prod,1850.75,슬롯_시간,6100,BigQuery 슬롯 사용량 증가
2025-02-05,CS,SaaS,Zendesk,nol-universe-prod,450,사용자,15,고객 지원 소프트웨어 라이선스
2025-02-10,Sales,클라우드_서비스,Cloud_Run,nol-universe-dev,98.5,요청,610000,API 사용량 증가
2025-02-14,Marketing,마케팅_캠페인,Google_Ads,nol-universe-dev,1500,클릭,10500,발렌타인 데이 프로모션
2025-02-18,IT,클라우드_서비스,Cloud_Storage,nol-universe-prod,112.3,GB,4100,데이터 저장 필요량 증가
2025-02-20,CS,클라우드_서비스,Dialogflow_CX,nol-universe-prod,355,세션,28000,챗봇 트래픽 증가
2025-02-25,IT,클라우드_서비스,Compute_Engine,nol-universe-prod,235,시간,170,프로덕션 백엔드 서버 운영
2025-03-01,IT,클라우드_서비스,BigQuery,nol-universe-prod,2010.25,슬롯_시간,7500,월간 보고서 생성을 위한 BigQuery 슬롯
2025-03-03,CS,SaaS,Zendesk,nol-universe-prod,450,사용자,15,고객 지원 소프트웨어 라이선스
2025-03-08,Sales,클라우드_서비스,Cloud_Run,nol-universe-dev,105.7,요청,650000,영업 대시보드용 API
2025-03-12,Marketing,마케팅_캠페인,Google_Ads,nol-universe-dev,1800,클릭,12000,1분기 종료 캠페인
2025-03-15,IT,클라우드_서비스,Cloud_Storage,nol-universe-prod,125.8,GB,4800,데이터 아카이브 저장
